viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,water_fraction_sea,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_B1,LS_B2,LS_B3,LS_B4,LS_B5,LS_B6,LS_SAA,LS_SZA,LS_VAA,LS_VZA,LS_NDSI,LS_ST_B10,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3810,3901,59.12736,-157.82047,0.2508,0.3049,0.3223,0.5441,0.2601,267.2879,262.7583,81.9773,-152.365,59.1818,-90.5864,7670.6694,7385.939,6809.0508,7046.3867,8857.5547,6349.9346,17253,7889,-7627,757,0.0349,263.13,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=263.13K NDSI=0.0349.,0.3786,7,Open Shrublands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3822,3711,59.08682,-158.46236,0.802,0.8313,0.2379,0.2909,0.1569,269.3749,266.9698,81.7896,-152.9557,58.0693,-91.218,7569.229,7277.999,6678.5566,6716.4473,6807.9141,5175.916,17192,7889,-6718,460,0.1268,265.63,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=265.63K NDSI=0.1268.,-0.0204,10,Grasslands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3856,3622,58.97196,-158.76304,0.2418,0.2498,0.2625,0.3641,0.1787,270.6944,266.4517,81.6168,-153.2334,57.5122,-91.4669,7551.8506,7282.3096,6722.2178,6955.041,7689.7319,6135.6602,17164,7880,-8368,358,0.0456,264.62,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=264.62K NDSI=0.0456.,0.1808,10,Grasslands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3892,3764,58.85034,-158.28331,0.0678,0.0665,0.1819,0.3629,0.2134,267.7084,265.2264,81.6156,-152.7941,58.3336,-91.4214,7036.4438,6666.8511,5989.4282,5920.4238,7007.3784,6000.4116,17209,7864,-6807,622,-0.0009,264.05,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=264.05K NDSI=-0.0009.,0.295,7,Open Shrublands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3902,3801,58.81655,-158.15831,0.0939,0.0988,0.197,0.4016,0.2662,268.3286,265.5677,81.616,-152.6782,58.5468,-91.1097,7054.2954,6712.3198,6144.8262,6228.1182,7892.8979,6862.5059,17221,7860,-6810,693,-0.0552,264.21,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=264.21K NDSI=-0.0552.,0.3267,10,Grasslands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3932,3795,58.7152,-158.17858,0.1273,0.1333,0.1685,0.2298,0.1361,266.4338,265.5528,81.5204,-152.6926,58.5006,-90.8597,7095.1968,6733.9785,6149.6519,6218.0747,7796.0547,6692.2676,17220,7850,-6815,716,-0.0423,264.06,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=264.06K NDSI=-0.0423.,0.4048,10,Grasslands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3975,3501,58.56993,-159.17182,0.0797,0.0817,0.124,0.0889,0.032,266.6594,265.1896,81.1525,-153.6118,56.6682,-92.0233,7045.4395,6683.3018,6093.7329,6092.0439,7569.9419,7125.9775,17127,7843,-8730,286,-0.0781,265.97,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=265.97K NDSI=-0.0781.,0.4093,9,Savannas
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,4011,3569,58.44831,-158.94209,0.0619,0.0574,0.1674,0.3055,0.2176,268.6766,266.3671,81.0979,-153.3987,57.0672,-91.738,7051.5947,6697.293,6106.0591,6135.915,7922.4224,7011.5903,17148,7829,-6733,428,-0.069,265.08,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=265.08K NDSI=-0.069.,0.1629,11,Permanent Wetlands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,4024,3590,58.40439,-158.87115,0.116,0.1163,0.2153,0.3719,0.3081,274.6801,263.1591,81.0715,-153.3353,57.1834,-91.8324,7127.6865,6767.4175,6124.8726,6132.9751,7351.0156,6981.561,17155,7824,-7410,479,-0.0654,265.67,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=265.67K NDSI=-0.0654.,0.304,11,Permanent Wetlands
2024-11-18,LC09_L1TP_074019_20241118_20241118_02_T1,3830,3634,59.0598,-158.7225,0.1456,0.1328,0.3426,0.6446,0.4809,274.8596,261.6309,81.7012,-153.2025,57.5914,-91.9028,7490.4814,7141.02,6503.2324,6708.9297,8621.5254,6863.6436,17168,7888,-8396,350,-0.027,263.12,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=263.12K NDSI=-0.027.,0.2319,10,Grasslands
