viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-11-26,LC08_L1TP_074018_20241126_20241202_02_T1,3782,3687,59.22047,-158.54331,0.1056,0.1515,0.2129,0.0937,266.1074,264.8228,82.7708,-157.5986,48.8489,-94.733,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=261.53K NDSI=0.0755.,0.0843,9,Savannas
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3810,3900,59.12736,-157.82385,0.3253,0.2384,0.3737,0.0884,265.9388,265.0378,82.8199,-156.9515,50.4061,-94.7106,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=264.64K NDSI=0.0932.,0.3786,7,Open Shrublands
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3822,3710,59.08682,-158.46574,0.8703,0.1652,0.1395,0.0272,269.7599,269.1021,82.6564,-157.5351,48.9395,-94.9541,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.44K NDSI=0.1095.,-0.0204,10,Grasslands
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3856,3622,58.97196,-158.76304,0.2699,0.2198,0.3041,0.1109,268.5117,265.7977,82.4912,-157.8065,48.1844,-94.9266,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=267.12K NDSI=0.0915.,0.1808,10,Grasslands
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3867,3523,58.9348,-159.0975,0.1512,0.1589,0.195,0.0917,267.7355,264.5081,82.391,-158.1158,47.3537,-95.5144,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=266.56K NDSI=0.0333.,0.0156,11,Permanent Wetlands
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3884,3596,58.87736,-158.85088,0.5641,0.1761,0.1992,0.0719,266.9593,263.8416,82.384,-157.8936,47.9053,-95.5362,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=266.11K NDSI=0.0399.,0.2224,9,Savannas
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3892,3589,58.85034,-158.87453,0.1181,0.1691,0.2399,0.0999,267.1479,265.455,82.3562,-157.9088,47.8513,-94.8329,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=266.31K NDSI=0.0775.,0.2837,9,Savannas
2024-11-26,LC08_L1TP_074019_20241126_20241202_02_T1,3902,3799,58.81655,-158.16507,0.0832,0.1973,0.3547,0.1043,266.5374,265.2466,82.4612,-157.2626,49.4886,-94.4769,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=265.77K NDSI=0.0791.,0.2889,10,Grasslands
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
