viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2022-10-23,LC90710162022296LGN01,2460,5353,63.68803,-152.91263,0.1985,0.1708,0.1547,0.0293,269.0381,268.3328,75.698,-170.242,9.002,-110.731,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.22K NDSI=0.4974.,0.0416,7,Open Shrublands
2022-10-23,LC90710162022296LGN01,2588,5139,63.2556,-153.6356,0.0524,0.3179,0.4287,0.1385,274.2138,268.5153,75.22,-170.969,5.19,-104.387,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.36K NDSI=0.5174.,0.1171,9,Savannas
2022-10-23,LC90710162022296LGN01,2650,5237,63.04614,-153.30452,0.0878,0.1516,0.1847,0.0556,268.3757,267.5816,75.035,-170.648,5.762,-110.831,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.0K NDSI=0.1913.,0.1618,9,Savannas
2022-10-23,LC90710162022296LGN01,2672,5624,62.97181,-151.99708,0.0996,0.128,0.0644,0.003,255.9958,255.8722,75.063,-169.333,10.346,-106.678,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=259.93K NDSI=0.8986.,-0.1415,9,Savannas
2022-10-23,LC90710162022296LGN01,2708,6030,62.85019,-150.62546,0.0978,0.7553,0.8332,0.0639,260.6182,258.3924,75.067,-167.967,14.961,-106.555,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.81K NDSI=0.9389.,-0.0256,16,Barren
2022-10-23,LC90710162022296LGN01,2772,6022,62.63398,-150.65249,0.0509,0.2347,0.2897,0.0529,271.7776,269.9403,74.849,-168.003,14.293,-106.878,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.18K NDSI=0.9194.,0.0275,7,Open Shrublands
2022-10-23,LC90710162022296LGN01,2796,5135,62.55289,-153.64911,0.3068,0.0886,0.1013,0.0409,272.4958,271.8427,74.522,-171.003,3.058,-114.714,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.9K NDSI=0.5945.,0.2768,8,Woody Savannas
2022-10-23,LC90710162022296LGN01,2826,5648,62.45154,-151.916,0.6918,0.1099,0.157,0.1421,276.5942,272.7167,74.555,-169.269,9.2,-107.895,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.77K NDSI=-0.6304.,-0.0239,10,Grasslands
2022-10-23,LC90710162022296LGN01,2910,5214,62.16776,-153.38222,0.2188,0.1167,0.1188,0.0808,274.5899,269.1014,74.157,-170.746,2.934,-118.192,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.91K NDSI=0.6773.,0.3824,11,Permanent Wetlands
2022-10-23,LC90710162022296LGN01,2972,5564,61.9583,-152.19979,0.1688,0.1052,0.1743,0.2189,279.5763,275.0755,74.044,-169.562,6.781,-108.055,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.89K NDSI=-0.5656.,0.4487,9,Savannas
2022-10-23,LC90710162022296LGN01,2991,5762,61.89411,-151.53087,0.5833,0.094,0.1239,0.1299,277.0601,273.2748,74.041,-168.886,9.17,-104.883,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.55K NDSI=-0.2041.,0.773,9,Savannas
2023-04-15,LC90730152023105LGN00,2087,4900,64.94764,-154.44426,0.3441,0.5324,0.6561,0.1252,271.797,266.6655,57.373,152.56,57.299,45.319,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.72K NDSI=-0.419.,0.0139,8,Woody Savannas
2023-04-15,LC90730152023105LGN00,2101,4961,64.90034,-154.23818,0.2274,0.359,0.4503,0.119,271.8844,267.7325,57.292,152.771,57.211,45.582,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.77K NDSI=0.5745.,0.0667,8,Woody Savannas
2023-04-15,LC90730152023105LGN00,2117,4697,64.84628,-155.13007,0.2492,0.2357,0.3131,0.0826,270.6275,267.5956,57.415,151.748,58.257,44.845,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.29K NDSI=0.3191.,0.0121,8,Woody Savannas
2023-04-15,LC90730152023105LGN00,2139,4518,64.77196,-155.7348,0.1363,0.199,0.3148,0.132,272.4061,267.529,57.47,151.054,59.015,43.809,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.37K NDSI=0.4379.,0.0759,8,Woody Savannas
