viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2024-10-02,LC80730112024276LGN00,824,5918,69.21385,-151.00508,0.0694,0.1949,0.2405,0.0787,272.1319,270.7764,73.633,168.532,28.03,53.988,0.0144,0.0296,0.0183,0.1104,0.0495,273.245,-0.5776,-0.2516,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.25K NDSI=-0.2516.
2024-10-02,LC80730112024276LGN00,831,6152,69.1902,-150.21454,0.0954,0.1287,0.224,0.1312,274.061,271.9801,73.557,169.34,26.529,54.386,-0.0136,0.0065,0.0258,0.3146,0.1925,274.2363,-0.9594,-0.9344,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.24K NDSI=-0.9344.
2024-10-02,LC80730112024276LGN00,838,5949,69.16655,-150.90035,0.0777,0.118,0.1476,0.1233,275.1389,271.7087,73.579,168.636,28.021,53.103,0.0242,0.0363,0.0451,0.1056,0.11,274.4994,-0.4883,-0.5036,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.5K NDSI=-0.5036.
2024-10-02,LC80730112024276LGN00,845,5966,69.1429,-150.84291,0.1167,0.1142,0.1413,0.1314,275.476,271.9485,73.552,168.689,28.012,54.386,0.0383,0.0422,0.0518,0.1418,0.1827,276.2666,-0.5417,-0.625,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.27K NDSI=-0.625.
2024-10-02,LC80730112024276LGN00,853,5971,69.11588,-150.82602,0.0598,0.1028,0.1641,0.1568,275.8769,272.9183,73.524,168.706,28.089,53.975,0.0488,0.0675,0.0787,0.1175,0.1364,274.3251,-0.2701,-0.3379,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.33K NDSI=-0.3379.
2024-10-02,LC80730112024276LGN00,864,5901,69.07871,-151.06251,0.0735,0.1047,0.1321,0.1395,275.9124,272.3693,73.504,168.454,28.727,54.081,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,878,5953,69.03142,-150.88683,0.1163,0.1972,0.2488,0.134,275.7477,272.2663,73.446,168.638,28.559,53.043,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,891,6163,68.9875,-150.17737,0.1277,0.3591,0.4078,0.0875,271.9003,269.7001,73.355,169.356,27.316,54.161,0.2762,0.1887,0.1703,0.282,0.055,270.8968,-0.1981,0.5487,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.9K NDSI=0.5487.
2024-10-02,LC80730112024276LGN00,900,6152,68.95709,-150.21454,0.0688,0.5481,0.5974,0.0506,268.6244,267.6248,73.329,169.314,27.522,53.855,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,911,5869,68.91993,-151.17062,0.1365,0.1246,0.1485,0.1366,275.8509,272.3803,73.358,168.323,29.608,54.013,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,919,6021,68.8929,-150.6571,0.083,0.1997,0.219,0.1233,274.7715,271.0722,73.294,168.85,28.698,54.101,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,927,6155,68.86588,-150.2044,0.0934,0.5402,0.5589,0.0432,267.8993,266.6746,73.239,169.313,27.888,54.371,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,937,5882,68.83209,-151.1267,0.0997,0.1575,0.1837,0.1465,275.7666,272.0387,73.268,168.365,29.883,52.804,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,948,6076,68.79493,-150.47129,0.0541,0.6364,0.6853,0.0537,267.7719,266.641,73.187,169.031,28.728,54.094,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,962,5863,68.74763,-151.19089,0.1061,0.4731,0.5107,0.043,270.4763,269.5833,73.19,168.288,30.359,53.542,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,971,6162,68.71723,-150.18075,0.1301,0.5273,0.553,0.0515,268.5778,267.1698,73.092,169.316,28.477,54.096,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,977,6254,68.69696,-149.86994,0.0502,0.6672,0.7137,0.0578,268.9142,267.4972,73.05,169.633,27.921,54.765,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,982,6286,68.68006,-149.76183,0.1497,0.5495,0.5807,0.043,267.9626,267.0445,73.028,169.741,27.769,54.284,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,990,6037,68.65304,-150.60305,0.0643,0.262,0.2886,0.1128,273.6025,269.5179,73.056,168.875,29.596,54.273,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-10-02,LC80730112024276LGN00,996,6280,68.63277,-149.7821,0.1571,0.6271,0.6766,0.0531,265.4756,264.0901,72.982,169.713,28.01,55.442,,,,,,,,,,Landsat null - outside swath. Classify manually.
