viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2025-04-20,LC90730162025110LGN00,2640,5198,63.07927,-153.43621,0.0647,0.2859,0.3227,0.0385,276.8725,274.2866,51.268,-176.732,6.079,68.769,0.5293,0.594,0.5489,0.5039,0.0289,275.4804,0.0821,0.9073,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.48K NDSI=0.9073 APPROVED.
2025-04-20,LC90730162025110LGN00,2670,4668,62.97791,-155.22675,0.3422,0.2516,0.2707,0.0398,277.0737,274.3653,51.137,-178.957,12.709,67.038,0.3289,0.3935,0.3815,0.2844,0.0191,274.8583,0.1608,0.9072,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.86K NDSI=0.9072 APPROVED.
2025-04-20,LC90730162025110LGN00,2681,4552,62.94075,-155.61864,0.2929,0.2723,0.3101,0.0477,277.1738,274.495,51.097,-179.453,14.197,67.905,0.0177,0.1039,0.1024,0.2079,0.0485,275.5078,-0.3337,0.363,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.51K NDSI=0.363 APPROVED.
2025-04-20,LC90730162025110LGN00,2715,4549,62.82589,-155.62878,0.0873,0.1213,0.1817,0.0607,279.0821,276.54,50.983,-179.475,14.623,67.978,0.5163,0.5725,0.59,0.4953,0.0401,276.2255,0.0723,0.8692,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=276.23K NDSI=0.8692 APPROVED.
2025-04-20,LC90730162025110LGN00,2733,5050,62.76508,-153.93621,0.3361,0.1562,0.1582,0.0767,282.6533,278.1468,50.941,-177.366,8.913,68.401,0.2834,0.3033,0.2772,0.0979,0.0048,274.7968,0.5119,0.9689,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.8K NDSI=0.9689 APPROVED.
2025-04-20,LC90730162025110LGN00,2766,4515,62.65359,-155.74364,0.3201,0.2462,0.2693,0.0479,277.5155,273.5088,50.808,-179.628,15.596,66.769,0.0311,0.0607,0.0618,0.1461,0.0451,277.2099,-0.4127,0.1476,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.21K NDSI=0.1476 APPROVED.
2025-04-20,LC90730162025110LGN00,2790,4516,62.57251,-155.74026,0.5162,0.2523,0.2876,0.0579,278.9051,274.0349,50.729,-179.634,15.87,67.776,0.4855,0.5235,0.5359,0.4689,0.04,277.08,0.055,0.8582,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.08K NDSI=0.8582 APPROVED.
2025-04-20,LC90730162025110LGN00,2862,5108,62.32927,-153.74026,0.0595,0.5652,0.5882,0.1094,281.762,273.8761,50.511,-177.138,9.661,67.9,0.792,0.794,0.8066,0.7118,0.0537,269.8954,0.0545,0.8734,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.9K NDSI=0.8734 APPROVED.
2025-04-20,LC90730162025110LGN00,2929,4380,62.10291,-156.19972,0.2536,0.2111,0.2431,0.0613,279.0426,275.2199,50.259,179.759,18.988,66.471,0.4345,0.4541,0.4629,0.419,0.0274,273.1186,0.0401,0.8861,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.12K NDSI=0.8861 APPROVED.
2025-04-20,LC90730162025110LGN00,2972,4896,61.95764,-154.45648,0.1561,0.3073,0.3577,0.0626,278.4278,275.3857,50.126,-178.051,13.445,67.12,0.3823,0.3913,0.3935,0.4086,0.0221,275.1694,-0.0216,0.8931,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=275.17K NDSI=0.8931 APPROVED.
