viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2025-10-11,LC90750122025284LGN00,858,4944,69.1011,-154.29676,0.0766,0.2438,0.3335,0.048,266.7402,265.1667,76.551,175.182,15.048,60.825,0.601,0.6153,0.7011,0.8983,0.1187,266.1766,-0.1869,0.6767,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=266.18K NDSI=0.6767 APPROVED.,0.5012,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,878,5648,69.03353,-151.91838,0.1071,0.1778,0.2611,0.1258,270.1009,268.1502,76.429,177.575,9.252,61.249,0.0279,0.0725,0.0717,0.3002,0.1236,269.8817,-0.6108,-0.2604,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.88K NDSI=-0.2604 APPROVED.,0.2568,10,Grasslands
2025-10-11,LC90750122025284LGN00,1007,5847,68.59772,-151.24608,0.0654,0.3693,0.4653,0.097,269.9165,267.722,75.986,178.224,9.252,63.647,0.7395,0.6446,0.6601,0.7126,0.0802,268.265,-0.05,0.7787,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.26K NDSI=0.7787 APPROVED.,0.0508,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1073,5013,68.37475,-154.06365,0.2096,0.1708,0.2165,0.1165,271.8674,268.3924,75.821,175.358,17.538,59.991,0.0908,0.1415,0.2039,0.4438,0.2939,271.078,-0.5166,-0.3501,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.08K NDSI=-0.3501 APPROVED.,0.1263,10,Grasslands
2025-10-11,LC90750122025284LGN00,1101,5015,68.28015,-154.05689,0.4343,0.1353,0.1414,0.0915,271.945,268.9119,75.728,175.359,17.905,60.65,0.0129,0.0397,0.0344,0.0412,0.078,270.5209,-0.018,-0.3249,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.52K NDSI=-0.3249 APPROVED.,0.1813,10,Grasslands
2025-10-11,LC90750122025284LGN00,1138,4988,68.15515,-154.14811,0.0505,0.1348,0.1915,0.1359,272.4789,268.9365,75.605,175.253,18.672,60.887,0.0253,0.0439,0.0529,0.1701,0.1818,270.8217,-0.5898,-0.611,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.82K NDSI=-0.611 APPROVED.,0.2024,10,Grasslands
2025-10-11,LC90750122025284LGN00,1172,4874,68.04029,-154.53325,0.0552,0.1302,0.2003,0.117,269.8655,267.7431,75.503,174.865,20.075,59.788,-0.0044,0.0522,0.041,0.2424,0.09,269.3553,-0.6456,-0.2659,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.36K NDSI=-0.2659 APPROVED.,0.2928,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1348,5605,67.44569,-152.06365,0.1596,0.0824,0.1166,0.08,271.6272,268.8593,74.85,177.314,16.106,61.722,-0.0042,0.0228,0.0244,0.0911,0.0818,270.7191,-0.5995,-0.5641,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.72K NDSI=-0.5641 APPROVED.,0.5554,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1425,5651,67.18556,-151.90825,0.1528,0.0529,0.1073,0.0511,270.13,269.0453,74.587,177.455,16.722,60.553,0.0072,0.0095,-0.0019,0.0101,0.0158,271.0131,-0.031,-0.2504,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=271.01K NDSI=-0.2504 APPROVED.,0.7335,9,Savannas
2025-10-11,LC90750122025284LGN00,1056,5796,68.43218,-151.41838,0.1012,0.3355,0.4179,0.1158,269.9607,267.7511,75.824,178.041,10.375,62.893,-0.0048,0.0225,-0.0369,0.0521,0.003,268.7298,-0.3969,0.7682,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.73K NDSI=0.7682 APPROVED.,0.0534,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1103,5013,68.2734,-154.06365,0.3549,0.1452,0.1831,0.1656,272.813,268.8508,75.724,175.354,17.936,60.552,0.0448,0.0554,0.0715,0.2106,0.2063,270.326,-0.5833,-0.5765,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.33K NDSI=-0.5765 APPROVED.,0.1045,10,Grasslands
2025-10-11,LC90750122025284LGN00,1112,5009,68.24299,-154.07716,0.3641,0.0976,0.1185,0.0725,270.6466,268.5472,75.694,175.34,18.089,59.896,0.003,0.0029,0.0037,0.0773,0.1144,270.6302,-0.9285,-0.9511,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.63K NDSI=-0.9511 APPROVED.,0.2949,10,Grasslands
2025-10-11,LC90750122025284LGN00,1149,5890,68.11799,-151.10081,0.0784,0.6084,0.7659,0.1605,269.0119,265.4861,75.507,178.341,10.788,62.559,0.7145,0.6844,0.7148,0.6586,0.1188,265.9373,0.0192,0.7042,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=265.94K NDSI=0.7042 APPROVED.,0.0035,10,Grasslands
2025-10-11,LC90750122025284LGN00,992,5854,68.6484,-151.22244,0.0817,0.3099,0.3917,0.0899,269.5568,267.7834,76.038,178.258,8.959,60.212,0.2953,0.1824,0.0518,0.1694,0.0283,266.3714,0.037,0.7312,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=266.37K NDSI=0.7312 APPROVED.,0.0344,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1005,5844,68.60448,-151.25622,0.1435,0.2855,0.3568,0.081,269.3056,268.457,75.995,178.211,9.251,64.192,0.5429,0.4662,0.4755,0.4824,0.0485,268.9007,-0.0171,0.8115,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.9K NDSI=0.8115 APPROVED.,0.0536,7,Open Shrublands
2025-10-11,LC90750122025284LGN00,1065,5782,68.40178,-151.46568,0.3308,0.3524,0.4325,0.1075,270.2277,267.9508,75.796,177.992,10.617,62.052,0.6807,0.65,0.6452,0.6326,0.0434,268.5487,0.0136,0.8747,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.55K NDSI=0.8747 APPROVED.,0.0633,7,Open Shrublands
