river_name,reach_id,node_id,lat,lon,width_m,max_width,n_chan_mod,dist_out
Killik River,81380600021,81380600020011,68.96886554897144,-153.70574217294498,119.5,119.5,1,330864.0
Killik River,81380600021,81380600020021,68.96938136408997,-153.700889492761,92.0,92.0,1,331078.0
Killik River,81380600021,81380600020031,68.96988325770711,-153.6959612130155,90.0,90.0,1,331267.0
Killik River,81380600021,81380600020041,68.97076495861458,-153.69263283313072,84.0,84.0,1,331458.0
Killik River,81380600021,81380600020051,68.97226856480198,-153.68941854332186,54.0,54.0,1,331659.0
Killik River,81380600021,81380600020061,68.97372883242919,-153.68664202127297,63.0,63.0,1,331879.0
Killik River,81380600021,81380600020071,68.9740744060227,-153.68193243491132,119.5,119.5,1,332066.0
Killik River,81380600021,81380600020081,68.97376708427417,-153.67705276607253,54.0,54.0,1,332278.0
Killik River,81380600021,81380600020091,68.97416679061168,-153.6721947922155,71.0,71.0,1,332470.0
Killik River,81380600021,81380600020101,68.9753817105793,-153.66918109204133,80.0,80.0,1,332671.0
Killik River,81380600021,81380600020111,68.97629690795519,-153.6651410400861,63.0,63.0,1,332887.0
Killik River,81380600021,81380600020121,68.97680516923735,-153.66028556295376,99.5,99.5,1,333084.0
Killik River,81380600021,81380600020131,68.97765493821221,-153.65621438893888,85.5,85.5,1,333262.0
Killik River,81380600021,81380600020141,68.97877455056296,-153.65258269408514,63.0,63.0,1,333477.0
Killik River,81380600021,81380600020151,68.97936863409116,-153.64797518233155,54.0,54.0,1,333686.0
Killik River,81380600021,81380600020161,68.97913072683247,-153.6431182777401,142.5,142.5,1,333869.0
Killik River,81380600021,81380600020171,68.9790208683273,-153.6382437879641,94.0,94.0,1,334083.0
Killik River,81380600021,81380600020181,68.97877251523114,-153.63336537017446,69.0,69.0,1,334270.0
Killik River,81380600021,81380600020191,68.9784958350285,-153.6284862536434,82.0,82.0,1,334490.0
Killik River,81380600021,81380600020201,68.97806400531364,-153.62360286536415,63.0,63.0,1,334672.0
Killik River,81380600021,81380600020211,68.97840318523669,-153.61911601218716,65.0,65.0,1,334878.0
Killik River,81380600021,81380600020221,68.97933411913439,-153.6146455472987,90.5,90.5,1,335078.0
Killik River,81380600021,81380600020231,68.97989346865099,-153.609789697214,42.0,42.0,1,335297.0
Killik River,81380600021,81380600020241,68.97964686581805,-153.60491147630495,282.5,551.0,2,335482.0
Killik River,81380600021,81380600020251,68.97918742317397,-153.6004022919136,273.0,551.0,2,335687.0
Killik River,81380600021,81380600020261,68.9782525689002,-153.59588043390377,216.5,551.0,2,335897.0
Killik River,81380600021,81380600020271,68.97730015780466,-153.59173317161577,129.0,551.0,2,336098.0
Killik River,81380600021,81380600020281,68.97608628996272,-153.58795396052966,233.0,551.0,2,336287.0
Killik River,81380600021,81380600020291,68.9751372700804,-153.58380754445295,297.0,551.0,2,336497.0
Killik River,81380600021,81380600020301,68.97412126537267,-153.57928509837305,283.5,551.0,3,336707.0
Killik River,81380600021,81380600020311,68.97344591806548,-153.57477194608103,295.5,551.0,3,336902.0
Killik River,81380600021,81380600020321,68.97268077303352,-153.57025676264,233.5,551.0,2,337113.0
Killik River,81380600021,81380600020331,68.97173670659807,-153.5661118812327,213.0,551.0,2,337294.0
Killik River,81380600021,81380600020341,68.97071597597036,-153.56233998123122,233.0,551.0,3,337494.0
Killik River,81380600021,81380600020351,68.96959879877004,-153.55841616114722,401.5,551.0,2,337689.0
Killik River,81380600021,81380600020361,68.96804718329705,-153.55568029270327,279.0,279.0,1,337915.0
Killik River,81380600021,81380600020371,68.96661302233484,-153.55321739405144,175.0,551.0,2,338086.0
