river_name,reach_id,lat,lon,width_m,max_width,n_chan_mod,n_chan_max,length_m,facc,dist_out,lakeflag
Sagavanirktok River,81390500071,70.09708324233759,-148.31055030887322,87.0,339.0,1,2,12818.226751437323,38.34091511937498,75076.76808911588,0
Killik River,81380600101,68.25155084082765,-154.07668273925623,155.0,480.0,1,2,10892.34158500304,2760.690056643249,454770.40004379983,0
Killik River,81380600071,68.52865815391121,-153.95298875236278,126.0,510.0,1,2,10076.962976182256,3550.515459251147,412656.466855223,0
Killik River,81380600081,68.45888036883562,-154.02957196565467,228.5,469.0,1,2,18289.688587066787,3356.501295377575,430946.1554422898,0
Sagavanirktok River,81390400111,68.98617051018111,-148.8205878784619,87.0,308.0,1,2,8206.945658749952,5124.865981287693,179022.5576143274,0
Killik River,81380600091,68.34616610345564,-154.0602536527809,190.0,551.0,1,3,12931.903016507016,3011.0309132543102,443878.0584587968,0
Sagavanirktok River,81390400101,69.05931665973267,-148.77888605936536,108.0,1020.0,1,3,12817.666129024048,5388.590883529753,170818.36149941,0
Sagavanirktok River,81390400131,68.8253141353907,-148.80042210912632,122.0,840.0,1,3,4596.944797155187,4612.067560261466,199788.31555876206,0
Sagavanirktok River,81390400271,68.76117190211666,-148.67489429030002,103.0,690.0,1,3,16993.682281017445,1617.693115234375,231025.0223421207,0
Killik River,81380600111,68.17897928212932,-154.13447933074406,77.0,577.0,1,3,10939.320915473947,2548.5261806653743,465709.72095927375,0
Killik River,81380600021,68.96795305336309,-153.58805162837822,96.0,551.0,1,4,11663.118775527313,4912.995571356849,342325.28207596013,0
Sagavanirktok River,81390400121,68.90055752045873,-148.83392875565931,105.0,445.0,1,5,16143.429962665527,4948.35169486642,195192.91333331933,0
Sagavanirktok River,81390500011,70.19743709466596,-148.008226691798,276.0,2064.0,3,5,4183.216785973653,12928.701629638672,82425.00167741204,0
Sagavanirktok River,81390400061,69.3964185620541,-148.6450668648209,105.0,1187.0,1,5,10191.914566246507,6308.837301670698,125300.57732278538,0
Sagavanirktok River,81390500021,70.14991908136989,-148.14741423041175,136.0,2064.0,2,6,11782.471384875333,12676.767578125,94207.47306228738,0
Sagavanirktok River,81390500091,70.17026520348455,-148.15062247644806,84.0,2064.0,1,6,11485.667633286015,12676.767578125,105693.14069557338,0
Sagavanirktok River,81390400031,69.701294494762,-148.64658774490763,270.0,1897.0,2,6,10729.26730492693,11922.650898972603,85646.65241468808,0
Sagavanirktok River,81390400081,69.24968451043658,-148.7501460088105,217.5,1110.0,3,6,7140.768477903234,5856.039784329172,143629.4740493129,0
Sagavanirktok River,81390400091,69.15965429036807,-148.80639573078997,243.0,1110.0,2,6,14348.084845019801,5698.362990925189,157974.43918586342,0
Sagavanirktok River,81390400051,69.46032087009705,-148.53160719127504,156.0,1200.0,2,6,10139.44978236964,6524.421943979683,115081.6251152951,0
Sagavanirktok River,81390400321,70.04893745656798,-148.56623806593552,167.0,1626.0,2,6,13711.513228096226,38.44501876831055,74027.25365365372,0
Killik River,81380600031,68.87669802619648,-153.44671474452267,97.0,1018.0,1,7,16488.214163920213,4690.192208973004,358813.49623988033,0
Sagavanirktok River,81390400071,69.32214194919446,-148.71160225738885,147.0,1224.0,2,7,11127.101380038286,6094.648029214845,136456.15795839278,0
Sagavanirktok River,81390400041,69.5787523505991,-148.57848301360835,262.0,2150.0,2,7,19275.952318952877,11849.473443296947,104915.78520580207,0
Sagavanirktok River,81390400011,69.90044348400583,-148.71472708545912,251.0,2971.0,3,8,15777.672953768348,12105.705078125,64103.768680994894,0
Sagavanirktok River,81390400191,69.45283854617364,-148.40879762293198,193.0,1425.0,1,8,14246.60959548204,5193.16455078125,129353.66125762397,0
