viirs_date,landsat_scene,river,reach_id,nearest_node_id,dist_to_node_m,sword_width_m,sword_max_width_m,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400011,81390400010011,1073.1,453.0,2971.0,600,6605,69.97128,-148.68412,0.5582,0.5658,0.543,0.1261,282.2188,270.5967,48.492,-177.822,12.087,-113.968,0.8058,0.7423,0.7331,0.6259,0.1221,271.1361,0.085,0.7175,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=271.14K NDSI=0.7175.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400011,81390400010221,1123.4,132.5,2971.0,613,6609,69.92736,-148.67061,0.1656,0.51,0.5857,0.2055,283.978,272.3412,48.45,-177.803,11.987,-112.304,0.2562,0.2074,0.2479,0.3246,0.1381,277.7329,-0.2203,0.2008,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.73K NDSI=0.2008.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400011,81390400010591,271.6,210.0,210.0,630,6595,69.86993,-148.71791,0.752,0.3374,0.3442,0.1438,283.4053,273.0081,48.392,-177.86,11.686,-110.367,0.3744,0.3527,0.3288,0.2995,0.0502,275.7299,0.0816,0.7508,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=275.73K NDSI=0.7508.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400321,81390400320111,895.6,96.0,1626.0,569,6663,70.07601,-148.48818,0.2338,0.5417,0.5127,0.1344,280.6925,271.246,48.598,-177.575,12.93,-112.346,0.8344,0.7521,0.7199,0.6015,0.1828,269.1707,0.1112,0.6089,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.17K NDSI=0.6089.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400011,81390400010791,1093.2,273.0,2971.0,643,6596,69.82601,-148.71453,0.7584,0.2183,0.1967,0.0583,279.1541,275.2194,48.347,-177.864,11.534,-113.098,,,,,,,,,,Landsat null - outside swath. Classify manually.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400321,81390400320361,409.6,170.5,1626.0,577,6637,70.04899,-148.57601,0.695,0.4711,0.4692,0.2243,279.3458,268.3784,48.571,-177.68,12.626,-111.915,0.7081,0.6232,0.6026,0.5289,0.2471,270.3021,0.0818,0.4322,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.3K NDSI=0.4322.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390500071,81390500070441,293.7,120.5,120.5,567,6709,70.08277,-148.33277,0.1248,0.6069,0.5475,0.1003,280.0252,272.0147,48.61,-177.387,13.354,-111.805,1.0979,1.034,1.0066,0.8318,0.0676,270.4559,0.1084,0.8773,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.46K NDSI=0.8773.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400321,81390400320691,1264.7,159.0,1626.0,592,6608,69.99831,-148.67399,0.1858,0.5,0.5253,0.2533,278.5645,270.344,48.519,-177.805,12.202,-110.654,0.7062,0.6415,0.619,0.542,0.1305,271.8881,0.0841,0.662,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=271.89K NDSI=0.662.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390400031,81390400030071,310.0,192.0,1897.0,670,6616,69.7348,-148.64696,0.454,0.4942,0.4299,0.0386,274.8568,271.8708,48.258,-177.785,11.42,-113.639,0.9845,0.9231,0.9083,0.8176,0.0682,271.9462,0.0606,0.8625,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=271.95K NDSI=0.8625.
2024-05-27,LC08_L2SP_073011_20240527_20240611_02_T1,Sagavanirktok River,81390500011,81390500010081,78.7,271.5,2064.0,532,6811,70.20101,-147.98818,0.4216,0.5576,0.5357,0.217,277.2615,270.1404,48.732,-176.949,14.632,-110.065,0.8811,0.817,0.7822,0.6222,0.0691,270.9652,0.1353,0.8439,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.97K NDSI=0.8439.
