viirs_date,landsat_scene,river,reach_id,nearest_node_id,dist_to_node_m,sword_width_m,sword_max_width_m,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010011,1073.1,453.0,2971.0,600,6605,69.97128,-148.68412,0.5582,0.1521,0.1439,0.0729,283.4369,279.3156,46.864,173.148,5.058,64.711,0.0708,0.0908,0.0957,0.086,0.061,281.8243,0.0272,0.1961,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=281.82K NDSI=0.1961.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010221,1123.4,132.5,2971.0,613,6609,69.92736,-148.67061,0.1656,0.1415,0.248,0.2504,289.7263,284.2963,46.821,173.167,5.176,60.814,0.0706,0.1033,0.1084,0.2284,0.2696,286.8282,-0.3773,-0.446,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=286.83K NDSI=-0.446.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010591,271.6,210.0,210.0,630,6595,69.86993,-148.71791,0.752,0.1068,0.0863,0.0563,282.1872,278.5188,46.766,173.083,5.584,66.488,0.061,0.085,0.0949,0.0514,0.0132,278.4883,0.2461,0.7306,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=278.49K NDSI=0.7306.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320111,895.6,96.0,1626.0,569,6663,70.07601,-148.48818,0.2338,0.1115,0.141,0.1146,284.8005,280.5441,46.961,173.422,4.088,60.219,0.0605,0.0955,0.1243,0.0802,0.0351,281.2979,0.0869,0.4628,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=281.3K NDSI=0.4628.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400011,81390400010791,1093.2,273.0,2971.0,643,6596,69.82601,-148.71453,0.7584,0.1101,0.0983,0.0827,285.8706,280.358,46.722,173.09,5.72,62.899,0.0616,0.0853,0.1002,0.0617,0.0289,280.4673,0.1604,0.4939,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=280.47K NDSI=0.4939.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320361,409.6,170.5,1626.0,577,6637,70.04899,-148.57601,0.695,0.1038,0.0921,0.0664,282.9176,278.8803,46.938,173.31,4.425,59.165,0.049,0.07,0.0791,0.0898,0.0923,282.6138,-0.1236,-0.1372,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.61K NDSI=-0.1372.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500071,81390500070441,293.7,120.5,120.5,567,6709,70.08277,-148.33277,0.1248,0.0897,0.169,0.1118,283.6431,279.7262,46.96,173.619,3.675,57.418,0.0415,0.0608,0.0657,0.1762,0.1367,282.7061,-0.487,-0.3845,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.71K NDSI=-0.3845.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400321,81390400320691,1264.7,159.0,1626.0,592,6608,69.99831,-148.67399,0.1858,0.1134,0.1531,0.1317,286.8048,281.8498,46.892,173.169,4.92,67.168,0.1612,0.1834,0.2186,0.2297,0.1431,284.7432,-0.1121,0.1236,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=284.74K NDSI=0.1236.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400031,81390400030071,310.0,192.0,1897.0,670,6616,69.7348,-148.64696,0.454,0.1024,0.0904,0.0561,282.8351,278.768,46.628,173.154,5.938,64.056,0.0681,0.0886,0.0977,0.1049,0.096,282.7403,-0.084,-0.0399,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.74K NDSI=-0.0399.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500011,81390500010081,78.7,271.5,2064.0,532,6811,70.20101,-147.98818,0.4216,0.1411,0.1446,0.0675,280.8866,277.3254,47.067,174.06,2.301,66.315,0.0287,0.0408,0.0588,0.1334,0.1214,280.4058,-0.5316,-0.4972,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=280.41K NDSI=-0.4972.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500021,81390500020031,1000.8,346.0,2064.0,539,6795,70.17736,-148.04223,0.1003,0.1375,0.2012,0.1203,283.381,279.0137,47.044,173.987,2.539,63.309,0.0398,0.0445,0.0632,0.106,0.0643,282.0191,-0.4086,-0.182,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.02K NDSI=-0.182.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400041,81390400040091,991.5,244.5,2150.0,696,6615,69.64696,-148.65034,0.0862,0.0971,0.1577,0.1739,291.8762,286.6199,46.543,173.135,6.314,66.289,0.0521,0.0659,0.0828,0.1863,0.2133,290.7145,-0.4772,-0.5277,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=290.71K NDSI=-0.5277.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500021,81390500020471,1749.5,175.0,2064.0,556,6761,70.11993,-148.15709,0.0759,0.172,0.24,0.1951,284.8175,279.3857,46.991,173.842,3.066,57.675,0.0522,0.0709,0.1026,0.2193,0.2878,282.0567,-0.5112,-0.6046,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.06K NDSI=-0.6046.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500091,81390500090051,1202.5,238.0,2064.0,532,6786,70.20101,-148.07264,0.1263,0.1876,0.2021,0.0885,281.8815,277.5325,47.068,173.961,2.519,67.915,0.0611,0.0766,0.095,0.1914,0.2482,282.73,-0.4281,-0.5283,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=282.73K NDSI=-0.5283.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500091,81390500090231,1626.6,102.5,102.5,536,6756,70.1875,-148.17399,0.1684,0.1129,0.1332,0.0955,281.3671,278.0133,47.06,173.821,2.856,68.357,0.1502,0.1894,0.1714,0.1884,0.0375,279.6675,0.0025,0.6693,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=279.67K NDSI=0.6693.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390500091,81390500090431,1674.6,125.0,2064.0,544,6737,70.16047,-148.23818,0.2642,0.2245,0.2263,0.101,280.7168,276.662,47.033,173.743,3.118,65.143,0.3531,0.4255,0.3883,0.2179,0.0096,275.9077,0.3228,0.9561,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=275.91K NDSI=0.9561.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400051,81390400050271,111.9,163.0,1200.0,752,6649,69.45777,-148.53547,0.3082,0.1011,0.1123,0.1105,290.0539,284.8473,46.349,173.247,6.785,60.222,0.051,0.0756,0.0869,0.0594,0.0478,285.9396,0.1198,0.2254,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=285.94K NDSI=0.2254.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400061,81390400060231,288.6,190.0,190.0,769,6621,69.40034,-148.63007,0.3288,0.0891,0.0842,0.0784,288.3214,283.7417,46.296,173.105,7.305,65.033,0.0375,0.0563,0.066,0.0642,0.0612,286.4454,-0.0657,-0.0412,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=286.45K NDSI=-0.0412.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400071,81390400070071,212.8,77.0,1224.0,782,6594,69.35642,-148.72128,0.3657,0.0858,0.1096,0.1133,291.1919,285.9108,46.257,172.992,7.693,63.29,0.0394,0.0692,0.0812,0.03,0.0133,285.7687,0.3956,0.6773,ice_free_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=285.77K NDSI=0.6773.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400071,81390400070351,619.7,508.0,1224.0,796,6604,69.30912,-148.6875,0.1077,0.0849,0.2009,0.2104,294.4434,289.67,46.209,173.032,7.786,60.314,0.0389,0.0492,0.0614,0.1555,0.2162,293.9035,-0.5194,-0.6294,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=293.9K NDSI=-0.6294.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400091,81390400090081,314.2,187.5,1110.0,826,6576,69.20777,-148.78209,0.4495,0.2112,0.1829,0.0694,285.23,282.4921,46.111,172.883,8.484,62.136,0.0729,0.0881,0.0997,0.1065,0.1103,288.7389,-0.0948,-0.1117,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=288.74K NDSI=-0.1117.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400101,81390400100091,241.7,84.0,84.0,860,6579,69.09291,-148.77196,0.1235,0.081,0.2544,0.245,301.1307,296.0161,45.998,172.883,8.908,62.314,0.03,0.051,0.0604,0.2604,0.2489,302.117,-0.6724,-0.6598,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=302.12K NDSI=-0.6598.
2024-06-12,LC08_L2SP_073011_20240612_20240628_02_T1,Sagavanirktok River,81390400121,81390400120181,303.0,217.0,217.0,908,6562,68.93074,-148.82939,0.2086,0.0726,0.1709,0.1785,295.8726,291.8463,45.84,172.779,9.729,60.867,0.0367,0.0538,0.0675,0.1854,0.2107,297.7898,-0.5502,-0.5932,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=297.79K NDSI=-0.5932.
